id,sequence_no,speaker,text
TS_EC_Q2_FY2025_0063,63,K Krithivasan,"The client decided to reduce the quantum of our transformation work, they were doing. And because of that, the program was stopped. So will they pick up the program again, we will know only once the situation turns positive, Kawal."
TS_EC_Q2_FY2025_0064,64,Kawaljeet Saluja,"Okay. That's clear. Final question, I don't know if it was asked earlier, but I did hear about a specific instance of focus on growth market. All of us know that growth market may not be the most profitable one. So how do you intend to balance the aspiration of expanding into India or some of the other regions in Asia Pacific and the profitability aspirations you have?"
TS_EC_Q2_FY2025_0065,65,K Krithivasan,"Like our experience is that, yes, the profit margin in growth markets may not be as high as the major markets. At the same time, we've been able to manage overall at the portfolio level. And also, it's a market where growth will come in and the kind of transformative engagements, we do are very interesting. And as the volume picks up, Kawal, my guess is we'll be also able to manage the margin. Currently, the volumes are low, because of which the SG&A expenses in these markets are slightly higher. Our expectation and the way we would operate is that as the volume picks up, we should be able to manage our cost and improve the margins also."
TS_EC_Q2_FY2025_0066,66,Samir Seksaria,"Just to add to it, we could drive growth in one portfolio and drive efficiency in another portfolio. Our intent would be to deliver a combined mix of growth and profitability in the aspirations which we have set."
TS_EC_Q2_FY2025_0067,67,Kawaljeet Saluja,"Thank you so much for your responses, appreciate it."
TS_EC_Q2_FY2025_0068,68,Moderator,Thank you. We'll take a next question from the line of Rishi Jhunjhunwala from IIFL Institutional Equities. Please go ahead.
TS_EC_Q2_FY2025_0069,69,Rishi Jhunjhunwala,"Yes. Thanks for the opportunity. Just a couple of questions. Firstly, if you look at our SG&A expenses as a percentage of revenue, they are pretty much at an all-time low. And in the past four to five quarters, we have seen sequentially even the absolute amount coming down. Just wanted to understand, is it more a reflection of how things have slowed down in the past four, five quarters and hence, you are trying to rationalize that or more a reflection of how the next three, four quarters might look like and kind of managing investments there?"
TS_EC_Q2_FY2025_0070,70,Samir Seksaria,"So, if you look at it from an absolute perspective, SG&A expenses have been in the stable level. If you look at it from a year-on-year perspective, there has been investment in infrastructure as well as travel expenses going up. And I'm assuming you're talking about from an absolute one because as percentage of revenue, due to inclusion of some of the non-services revenue, will also have an impact. But overall, SG&A is one of the levers in terms of stable management of margins."
TS_EC_Q2_FY2025_0071,71,Rishi Jhunjhunwala,"Okay, sir. And just secondly on deals, right? So last quarter we had indicated that there were delays in deal closures and so possibly that could have been reflected in better wins this quarter. There hasn't been any material uptick, but you mentioned 7 billion to 9 billion is a comfortable range in which you are operating. Just wanted to understand in order for our growth to accelerate to maybe high single digit or close to double digit over the next 12, 18 months. Do you still need this number to go up substantially or the overall budgets might just reflect that even if it is not getting reflected in the TCV?"
TS_EC_Q2_FY2025_0072,72,K Krithivasan,"No, let's say, for the current revenue trajectory we are in about 9 billion, I'm not saying 7 billion will be comfortable consistently. But close to the range, we have to get close to our book-to-bill ratio. If it gets somewhere around 1.1, 1.2 would service the growth that is required. So that's the reason we are coming up with a number of almost $7 to $9 bn. But also, Rishi, idea is that when you say seven to nine, there will be a couple of quarters where you will have a mega deal come in. So, it will also give additional bump to the overall number. For instance, last year, we had TCV of almost more than 40 billion. This year, we had somewhere between close to 16 billion and 17 billion in TCV in H1, with some large deals coming in and with all the better deal closure, we may be closer to the mark than we were last year or if it is lesser, will not be less by a big number and as I said, 1.1, 1.2 book-to-bill is a decent number for sustaining the growth."
TS_EC_Q2_FY2025_0073,73,Rishi Jhunjhunwala,"But would you have mega deals in the pipeline, which could potentially..."
TS_EC_Q2_FY2025_0074,74,K Krithivasan,"There'll always be a few mega deals in the pipeline, Rishi."
TS_EC_Q2_FY2025_0075,75,Rishi Jhunjhunwala,Okay. All right. Thank you so much.
TS_EC_Q2_FY2025_0076,76,K Krithivasan,Thank you.
TS_EC_Q2_FY2025_0077,77,Moderator,Thank you. We'll take our next question from the line of Ravi Menon from Macquarie. Please go ahead.
TS_EC_Q2_FY2025_0078,78,Ravi Menon,"Thank you for the opportunity. I wanted to touch upon one of the markets that you're already strong in that is the Airline Industry. We had heard about how they want to go direct-to-consumer, and I guess, those plans have been put on hold as they struggled on that front. Do you see some of those kinds of investments coming back?"
TS_EC_Q2_FY2025_0079,79,K Krithivasan,"Yes, definitely from what we understand, those investments are coming back."
TS_EC_Q2_FY2025_0080,80,Ravi Menon,"And in manufacturing, where you spoke of were you talking about aerospace specifically or any other segments?"
TS_EC_Q2_FY2025_0081,81,K Krithivasan,"Definitely, the labor issue is around aerospace. Supply chain issues are in auto as well as aerospace."
TS_EC_Q2_FY2025_0082,82,Ravi Menon,"Thank you so much. And one last question on BSNL deal. I think if I understood correctly, by next year Q1 that's supposed to end? And is there a maintenance phase after that?"
TS_EC_Q2_FY2025_0083,83,K Krithivasan,"Yes, there will be a maintenance phase, see currently, the existing deal we are on track to in fact close by Q4, okay? And Q1 there could be some residual work, and some maintenance work will be there."
TS_EC_Q2_FY2025_0084,84,Ravi Menon,"Thank you so much, best of luck."
TS_EC_Q2_FY2025_0085,85,Moderator,Thank you. We have a next question from the line of Gaurav Rateria from Morgan Stanley. Please go ahead.
TS_EC_Q2_FY2025_0086,86,Gaurav Rateria,"Thanks for taking my question. The first question is for Krithi. You did talk about optimism around discretionary spend returning back. So apart from macro data points, what are you seeing either in your portfolio or client conversation or the pipeline that gives you more confidence around return of discretionary spend over a period of time?"
TS_EC_Q2_FY2025_0087,87,K Krithivasan,"See, there are a couple of things. One is there is a lot of optimization work going on. Some of the investments around technology debt have not taken place. For instance, there's a workaround technology modernization, mainframe modernization, that spending, and 1 good thing is with the Generative AI becoming more and more mainstream, Generative AI is also being seen as an important lever through which modernization could be expedited and accelerated. So that's one and the second is our client conversations in terms of enhancing customer experience. That's also in some cases that which should have happened last year did not happen. So, the optimism comes from the backlog of work, which some of our customers have not been able to carry forward because of the current environment they are in."
TS_EC_Q2_FY2025_0088,88,Gaurav Rateria,"Got it. The second question is on margins. I know that you gave us the details, and that had a component of capacity building an infrastructure-related investments that had some impact on the margins -- kind of coming back gradually, would you expect margins to return to the range that you talked about in the near term or will it be more like a medium-term phenomenon. Basically, you have levers around India business, sort of tapering down on that contract, which can lead to some margin expansion on top of it some capacity creation has happened. That also kind of can lead to a margin expansion. So, trying to understand 26% is it more of a near-term phenomenon or more like a longer-term margin aspiration that one should think about?"
TS_EC_Q2_FY2025_0089,89,Samir Seksaria,"Gaurav, we'd like to get to 26% to 28% or nearer to 26% as soon as possible. Given how the macros are stacked up we can't tell you whether it is in the immediate quarter or two quarters or three quarters or four, but we'd like to get to it. We exited at 26% in Q4 of last year, I'd be really happy if we can exit this year Q4 also at 26%."
TS_EC_Q2_FY2025_0090,90,Gaurav Rateria,Thank you very much.
TS_EC_Q2_FY2025_0091,91,Moderator,Thank you. We move on to the next question from the line of Nitin Padmanabhan from Investec. Please go ahead.
TS_EC_Q2_FY2025_0092,92,Nitin Padmanabhan,"Hi, good evening. You mentioned that the deal tenures have sort of expanded. So, is that in specific cases or is that a very broad-based kind of phenomenon?"
TS_EC_Q2_FY2025_0093,93,Samir Seksaria,"Nitin, I think probably what I meant was a deal cycle, like the time to close the deal, we saw an expansion. It's not the tenure of the deal. It's the time to close the deal has expanded between Q1 and Q2 in some other cases."
TS_EC_Q2_FY2025_0094,94,Nitin Padmanabhan,"Got it. And you mentioned that the headwinds that we have seen this quarter in some cases, it could sort of stabilize in the next quarter and then possibly improve I think that was more Life Sciences. But broadly, do you get the sense that in all the areas where you have seen headwinds in the current quarter that's more or less peaked out and things can incrementally improve for those specific areas?"
TS_EC_Q2_FY2025_0095,95,K Krithivasan,"See, we've never given a short-term commentary or near-term commentary, Nitin. But we believe that once the uncertainties are clear and once we enter a more stable situation, we believe the growth should also return. Current, we believe the short-term freeze or cut down in the discretionary spend comes out as a market uncertainty. One that eases the investment should return, but I don't want to say that it will immediately happen in Q3, but we believe in the medium term, it should happen."
TS_EC_Q2_FY2025_0096,96,Nitin Padmanabhan,"Got it. And lastly, you mentioned that 86 sort of projects on GenAI have gone into production compared to 8 in the last quarter, what are the average sizes of these projects? Are they very large or...?"
TS_EC_Q2_FY2025_0097,97,K Krithivasan,"No, at this time, Nitin, many of them tend to be small, but we do also get some large projects. For instance, for 1 of our clients, we established an AI office. It's a program that sets the overall architecture, sets the guardrail and ensures the risk and regulatory framework, legal framework and then looks at all potential POCs and then evaluates the POCs and then creates a backlog and works with each group to deliver. Such projects will be more long tenured and the value could be higher. So, if you are doing 1 single POC or 1 single program, the value may not be very high. But where they are long-standing and long-term projects, the value also could be high."
TS_EC_Q2_FY2025_0098,98,Nitin Padmanabhan,"Got it. Are you seeing any large AI projects where enterprises are sort of looking to build some sort of a broad infrastructure framework where the entire org could sort of use irrespective of the partners, the broad individual building blocks, which is enterprise-wide?"
TS_EC_Q2_FY2025_0099,99,K Krithivasan,"That's what I mentioned. These AI offices, we are trying to create an overall infrastructure. It's more a technical infrastructure as well as the framework and guardrail that's required. When I said AI office, that's what these programs tend to do, Nitin."
TS_EC_Q2_FY2025_0100,100,Nitin Padmanabhan,"In the case where an enterprise seeks to create an AI office broadly, typically, how large will these projects be?"
TS_EC_Q2_FY2025_0101,101,K Krithivasan,"See, it can vary, like deal size can vary based on the core size of the organization, tenure of the deal, it could be $10 million to $20 million, $30 million based on the tenure and size of the organization."
TS_EC_Q2_FY2025_0102,102,Nitin Padmanabhan,"That's very helpful, Krithi. Thank you so much and all the very best."
TS_EC_Q2_FY2025_0103,103,K Krithivasan,Thank you.
TS_EC_Q2_FY2025_0104,104,Moderator,"Thank you. Ladies and gentlemen, that was the last question for today. I now hand the conference over to the management for closing comments. Over to you."
TS_EC_Q2_FY2025_0105,105,K Krithivasan,"Thank you, operator. We are very pleased with our second quarter performance, growing at 5.5% Year-on-Year in Constant Currency, amidst the challenging geopolitical situation. Deal momentum continued to be very strong in Q2, with our order book at $8.6 billion for the quarter. Operating margins were at 24.1%, declining 60 bps sequentially. Our LTM attrition in IT services was 12.3%. I would like to thank the 612,000+ TCSers whose valuable work is helping us achieve excellence every day. With that, we wrap up our call today. Thank you all for joining us."
